cluster_id,anchor_building_id,anchor_property_type,member_count,total_buildings,total_sqft,total_thermal_load_mmbtu,total_cooling_load_tons,avg_distance_m,max_distance_m,epb_count,epb_percentage,total_penalty_exposure,opt_in_count,high_thermal_demand_count,property_type_diversity,members,thermal_diversity_score,economic_potential_score,epb_density,penalty_per_epb,epb_opportunity_score
cluster_2356,2356,Multifamily Housing,11,12,1759439.0,59532.33516999999,4398.5975,235.6916345068086,456.5898484586746,3,25.0,4689393.288,0,8,4,"[{'building_id': '2359', 'distance_m': 74.13713118699158, 'property_type': 'Office', 'is_epb': False}, {'building_id': '5854', 'distance_m': 99.68957138107722, 'property_type': 'MOVIE THEATER', 'is_epb': False}, {'building_id': '6257', 'distance_m': 120.92990190795923, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '5631', 'distance_m': 142.60089453675212, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2355', 'distance_m': 198.24322586389653, 'property_type': 'K-12 School', 'is_epb': False}, {'building_id': '2354', 'distance_m': 212.29306661725806, 'property_type': 'K-12 School', 'is_epb': True}, {'building_id': '6258', 'distance_m': 269.43889753527554, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '6198', 'distance_m': 283.7525584879053, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5912', 'distance_m': 287.23718689232027, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '3226', 'distance_m': 447.6956967067841, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '6028', 'distance_m': 456.5898484586746, 'property_type': 'Multifamily Housing', 'is_epb': False}]",0.0,78.0,0.25,1563131.096,55.49999999999999
cluster_2801,2801,Multifamily Housing,15,16,1875819.0,94647.81648,4689.5475,253.08316350620197,496.9115987421055,3,18.75,13540583.0529,0,10,8,"[{'building_id': '5575', 'distance_m': 72.40328792583263, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2805', 'distance_m': 90.55810591971262, 'property_type': 'Office', 'is_epb': False}, {'building_id': '5946', 'distance_m': 92.61945903992533, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2800', 'distance_m': 128.12246165566418, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2804', 'distance_m': 132.01175972781496, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2799', 'distance_m': 162.38395223643485, 'property_type': 'Residential Care Facility', 'is_epb': False}, {'building_id': '5211', 'distance_m': 195.11465688227258, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2806', 'distance_m': 211.36454922189463, 'property_type': 'Hotel', 'is_epb': False}, {'building_id': '2798', 'distance_m': 245.2385149159088, 'property_type': 'Senior Living Community', 'is_epb': True}, {'building_id': '2797', 'distance_m': 272.7646603623712, 'property_type': 'K-12 School', 'is_epb': False}, {'building_id': '2867', 'distance_m': 373.5112347292507, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2877', 'distance_m': 403.7362753065102, 'property_type': 'Retail Store', 'is_epb': True}, {'building_id': '2882', 'distance_m': 453.80998550409555, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2883', 'distance_m': 465.696950423236, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '6034', 'distance_m': 496.9115987421055, 'property_type': 'Fitness Center/Health Club/Gym', 'is_epb': False}]",0.0,77.5,0.1875,4513527.6843,55.15
cluster_3726,3726,Multifamily Housing,16,17,2061152.0,93739.9442,5152.88,265.39822928307353,471.9760448988653,3,17.647058823529413,8112558.864,0,14,5,"[{'building_id': '3764', 'distance_m': 120.11956874890558, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5269', 'distance_m': 120.83042674772184, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5267', 'distance_m': 125.51225884932914, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '3763', 'distance_m': 138.90297394329042, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '3727', 'distance_m': 154.8225981552958, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5261', 'distance_m': 170.41053929630084, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '3728', 'distance_m': 212.77160935933352, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5288', 'distance_m': 271.89045145792966, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '6269', 'distance_m': 276.884012738012, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '3688', 'distance_m': 307.89076327132443, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '3765', 'distance_m': 328.38172171808424, 'property_type': 'College/University', 'is_epb': False}, {'building_id': '3730', 'distance_m': 330.8481017095011, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '6304', 'distance_m': 366.3203266575655, 'property_type': 'Senior Living Community', 'is_epb': False}, {'building_id': '6249', 'distance_m': 420.32955406714086, 'property_type': 'Office', 'is_epb': False}, {'building_id': '3681', 'distance_m': 428.4807169105758, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '3729', 'distance_m': 471.9760448988653, 'property_type': 'Worship Facility', 'is_epb': False}]",0.0,77.05882352941177,0.17647058823529413,2704186.288,54.84117647058823
cluster_2943,2943,Multifamily Housing,18,19,1143926.0,48558.877219999995,2859.815,338.7369658111297,498.4566251809594,4,21.052631578947366,4022428.6944,0,16,4,"[{'building_id': '2946', 'distance_m': 62.16539800590419, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '2944', 'distance_m': 84.26815780799804, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2945', 'distance_m': 125.32154958316636, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '2947', 'distance_m': 222.19152879196145, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2899', 'distance_m': 315.9320408578853, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '2955', 'distance_m': 316.5511473231577, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2957', 'distance_m': 343.5656245454808, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2949', 'distance_m': 350.5951286748924, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '2933', 'distance_m': 357.4188394879269, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2898', 'distance_m': 361.6954477863058, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2956', 'distance_m': 381.5608197894952, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2934', 'distance_m': 395.6044165521282, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2932', 'distance_m': 409.31690587931354, 'property_type': 'Office', 'is_epb': False}, {'building_id': '2935', 'distance_m': 448.28855459263895, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2936', 'distance_m': 462.25554021229675, 'property_type': 'Hotel', 'is_epb': False}, {'building_id': '2784', 'distance_m': 464.8852632869159, 'property_type': 'Bank Branch', 'is_epb': False}, {'building_id': '2764', 'distance_m': 497.19239624190834, 'property_type': 'Office', 'is_epb': False}, {'building_id': '2966', 'distance_m': 498.4566251809594, 'property_type': 'Multifamily Housing', 'is_epb': False}]",0.0,76.42105263157895,0.21052631578947367,1005607.1736,54.694736842105264
cluster_5643,5643,Multifamily Housing,9,10,1965107.0,82800.3029,4912.7675,292.2020734047197,495.09290196454265,2,20.0,2061176.0849999997,0,6,5,"[{'building_id': '5138', 'distance_m': 124.32250916186489, 'property_type': 'Supermarket/Grocery Store', 'is_epb': False}, {'building_id': '3648', 'distance_m': 187.33982394441784, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5876', 'distance_m': 217.96974096984042, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '6008', 'distance_m': 250.97605101250085, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '3554', 'distance_m': 280.5231684946525, 'property_type': 'Office', 'is_epb': False}, {'building_id': '3650', 'distance_m': 295.59001683105595, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '5564', 'distance_m': 317.76616346742486, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '3651', 'distance_m': 460.2382847961776, 'property_type': 'Residential Care Facility', 'is_epb': True}, {'building_id': '3644', 'distance_m': 495.09290196454265, 'property_type': 'K-12 School', 'is_epb': False}]",0.0,77.0,0.2,1030588.0424999999,54.5
cluster_3612,3612,Multifamily Housing,9,10,540484.0,30206.015489999998,1351.21,349.4118370850018,462.75786364567307,3,30.0,3102913.272,0,4,6,"[{'building_id': '5993', 'distance_m': 229.06527755423826, 'property_type': 'Medical Office', 'is_epb': False}, {'building_id': '3618', 'distance_m': 264.9421762991047, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '3613', 'distance_m': 282.910486156133, 'property_type': 'Supermarket/Grocery Store', 'is_epb': False}, {'building_id': '3614', 'distance_m': 305.0790321159207, 'property_type': 'K-12 School', 'is_epb': False}, {'building_id': '3617', 'distance_m': 335.9993367548417, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '3616', 'distance_m': 392.84798813702173, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '3599', 'distance_m': 417.4488644885692, 'property_type': 'Worship Facility', 'is_epb': False}, {'building_id': '3619', 'distance_m': 453.6555086135141, 'property_type': 'Senior Living Community', 'is_epb': False}, {'building_id': '5731', 'distance_m': 462.75786364567307, 'property_type': 'K-12 School', 'is_epb': False}]",0.0,76.0,0.3,1034304.424,54.099999999999994
cluster_3056,3056,Multifamily Housing,12,13,1634796.0,60020.87609,4086.9900000000002,375.92559371232045,478.8397613815942,2,15.384615384615385,4498938.209999999,0,7,5,"[{'building_id': '3057', 'distance_m': 174.85335035962612, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '6237', 'distance_m': 299.75745981188936, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '3191', 'distance_m': 321.19208788497235, 'property_type': 'Performing Arts', 'is_epb': False}, {'building_id': '5130', 'distance_m': 345.054096338558, 'property_type': 'Office', 'is_epb': False}, {'building_id': '3055', 'distance_m': 345.0589959492325, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5915', 'distance_m': 359.59452279927683, 'property_type': 'Mixed Use Property', 'is_epb': True}, {'building_id': '6176', 'distance_m': 391.0365143618349, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '3157', 'distance_m': 425.45892112539946, 'property_type': 'Office', 'is_epb': True}, {'building_id': '3049', 'distance_m': 430.58701429756036, 'property_type': 'Office', 'is_epb': False}, {'building_id': '6016', 'distance_m': 460.8346388563072, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5173', 'distance_m': 478.8397613815942, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5822', 'distance_m': 478.8397613815942, 'property_type': 'Supermarket/Grocery Store', 'is_epb': False}]",0.0,76.15384615384616,0.15384615384615385,2249469.1049999995,53.90769230769231
cluster_1489,1489,Manufacturing/Industrial Plant,21,22,1395017.0,108233.49179999999,3487.5425,285.1989652163137,482.6692473420808,3,13.636363636363635,51604957.017,0,0,9,"[{'building_id': '1490', 'distance_m': 86.05070455261243, 'property_type': 'Non-Refrigerated Warehouse', 'is_epb': False}, {'building_id': '5410', 'distance_m': 99.45495867596394, 'property_type': 'Self-Storage Facility', 'is_epb': False}, {'building_id': '1508', 'distance_m': 130.6539298064184, 'property_type': 'Manufacturing/Industrial', 'is_epb': False}, {'building_id': '1492', 'distance_m': 147.63190377559414, 'property_type': 'Non-Refrigerated Warehouse', 'is_epb': False}, {'building_id': '1491', 'distance_m': 158.12194417066198, 'property_type': 'Non-Refrigerated Warehouse', 'is_epb': False}, {'building_id': '1507', 'distance_m': 173.49950518731487, 'property_type': 'Non-Refrigerated Warehouse', 'is_epb': False}, {'building_id': '1494', 'distance_m': 224.55421504814302, 'property_type': 'Manufacturing/Industrial Plant', 'is_epb': False}, {'building_id': '1496', 'distance_m': 224.90187675321263, 'property_type': 'Manufacturing/Industrial Plant', 'is_epb': False}, {'building_id': '1509', 'distance_m': 228.3901714867813, 'property_type': 'Non-Refrigerated Warehouse', 'is_epb': False}, {'building_id': '1522', 'distance_m': 292.80761920492824, 'property_type': 'Other - Recreation', 'is_epb': False}, {'building_id': '1493', 'distance_m': 306.4825825401687, 'property_type': 'Manufacturing/Industrial Plant', 'is_epb': False}, {'building_id': '1504', 'distance_m': 311.5869386648979, 'property_type': 'Non-Refrigerated Warehouse', 'is_epb': False}, {'building_id': '1502', 'distance_m': 315.8622527198591, 'property_type': 'Non-Refrigerated Warehouse', 'is_epb': False}, {'building_id': '1477', 'distance_m': 318.0842770784933, 'property_type': 'MIXED USE PROPERTY', 'is_epb': False}, {'building_id': '1483', 'distance_m': 325.1157370297157, 'property_type': 'Office', 'is_epb': True}, {'building_id': '5412', 'distance_m': 396.95728944650915, 'property_type': 'Non-Refrigerated Warehouse', 'is_epb': False}, {'building_id': '1481', 'distance_m': 417.52337895830044, 'property_type': 'Distribution Center', 'is_epb': False}, {'building_id': '1510', 'distance_m': 424.8181543339337, 'property_type': 'Other', 'is_epb': True}, {'building_id': '1478', 'distance_m': 457.4841310264886, 'property_type': 'Office', 'is_epb': False}, {'building_id': '5486', 'distance_m': 466.5274517405105, 'property_type': 'Office', 'is_epb': True}, {'building_id': '1519', 'distance_m': 482.6692473420808, 'property_type': 'Non-Refrigerated Warehouse', 'is_epb': False}]",0.0,75.45454545454545,0.13636363636363635,17201652.338999998,53.71818181818181
cluster_4630,4630,Multifamily Housing,13,14,1914130.0,93700.97058,4785.325,342.7284559659839,495.76874726682047,2,14.285714285714285,12609649.9209,0,6,5,"[{'building_id': '4633', 'distance_m': 111.9052034460595, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '4673', 'distance_m': 197.58318089657737, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '4642', 'distance_m': 209.3646537793413, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '4660', 'distance_m': 237.2066962660402, 'property_type': 'Retail Store', 'is_epb': False}, {'building_id': '4658', 'distance_m': 338.4733590432568, 'property_type': 'Office', 'is_epb': False}, {'building_id': '4636', 'distance_m': 338.6120928272505, 'property_type': 'Strip Mall', 'is_epb': False}, {'building_id': '4638', 'distance_m': 363.411513388607, 'property_type': 'Office', 'is_epb': True}, {'building_id': '4773', 'distance_m': 389.10955664584947, 'property_type': 'Strip Mall', 'is_epb': False}, {'building_id': '4639', 'distance_m': 400.05862706969623, 'property_type': 'Office', 'is_epb': False}, {'building_id': '4641', 'distance_m': 433.0839101846689, 'property_type': 'Hotel', 'is_epb': False}, {'building_id': '4656', 'distance_m': 462.508653575871, 'property_type': 'Office', 'is_epb': False}, {'building_id': '4772', 'distance_m': 478.38373316775244, 'property_type': 'Strip Mall', 'is_epb': False}, {'building_id': '4635', 'distance_m': 495.76874726682047, 'property_type': 'Multifamily Housing', 'is_epb': False}]",0.0,75.71428571428572,0.14285714285714285,6304824.96045,53.6
cluster_6383,6383,Multifamily Housing,13,14,1117651.0,44610.06718,2794.1275,277.4287564247281,398.0293303733828,2,14.285714285714285,4068988.4291999997,0,11,5,"[{'building_id': '6396', 'distance_m': 111.4633979747855, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2694', 'distance_m': 154.09277522601394, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2702', 'distance_m': 167.13830025327965, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '2699', 'distance_m': 223.6111076649342, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2690', 'distance_m': 237.95933717571862, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '2760', 'distance_m': 258.0015458053981, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5197', 'distance_m': 298.13959241390296, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2703', 'distance_m': 307.9232099388265, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2763', 'distance_m': 332.80371406305017, 'property_type': 'Bar/Nightclub', 'is_epb': False}, {'building_id': '2705', 'distance_m': 354.25823422785146, 'property_type': 'Office', 'is_epb': False}, {'building_id': '2985', 'distance_m': 366.7719741339104, 'property_type': 'Retail Store', 'is_epb': False}, {'building_id': '2993', 'distance_m': 396.3813142704106, 'property_type': 'Hotel', 'is_epb': False}, {'building_id': '5867', 'distance_m': 398.0293303733828, 'property_type': 'Multifamily Housing', 'is_epb': False}]",0.0,75.71428571428572,0.14285714285714285,2034494.2145999998,53.6
cluster_2924,2924,Multifamily Housing,31,32,2282634.0,128796.21538,5706.585,272.90664981737604,480.84810673890144,5,15.625,20788328.605499998,0,28,4,"[{'building_id': '2926', 'distance_m': 35.24025053059489, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2909', 'distance_m': 55.127188097330325, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '2908', 'distance_m': 96.07793626875169, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2913', 'distance_m': 99.24987974608132, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2927', 'distance_m': 102.45939398589005, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2921', 'distance_m': 120.7749108605836, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2912', 'distance_m': 125.67522559599608, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2919', 'distance_m': 146.97283141172372, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2911', 'distance_m': 167.70793148584616, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2907', 'distance_m': 185.94963077378924, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2922', 'distance_m': 194.10608961602523, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2930', 'distance_m': 195.27277459996634, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2910', 'distance_m': 204.80805597815996, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2931', 'distance_m': 215.24851553115568, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2929', 'distance_m': 239.3343769164788, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2928', 'distance_m': 245.08643375803595, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '2905', 'distance_m': 266.6845915973644, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2906', 'distance_m': 315.8054209250094, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '2983', 'distance_m': 337.16597374304627, 'property_type': 'Other - Entertainment/Public Assembly', 'is_epb': False}, {'building_id': '2887', 'distance_m': 354.46856382536754, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2902', 'distance_m': 356.5835886940501, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2916', 'distance_m': 368.7115521467551, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2904', 'distance_m': 382.85503543852184, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2903', 'distance_m': 405.9059234140467, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '2901', 'distance_m': 432.40455099141184, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '2917', 'distance_m': 454.48205022917654, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2900', 'distance_m': 459.36635243458164, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5191', 'distance_m': 466.53264683711757, 'property_type': 'Residential Care Facility', 'is_epb': False}, {'building_id': '2886', 'distance_m': 469.1071242367994, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5189', 'distance_m': 480.09323793009673, 'property_type': 'Residential Care Facility', 'is_epb': False}, {'building_id': '2897', 'distance_m': 480.84810673890144, 'property_type': 'Worship Facility', 'is_epb': False}]",0.0,74.25,0.15625,4157665.7210999997,53.474999999999994
cluster_4533,4533,Multifamily Housing,11,12,992389.0,63461.70005,2480.9725,283.84819439383307,444.6513898078342,3,25.0,9808515.3,0,4,6,"[{'building_id': '4551', 'distance_m': 78.22196019997725, 'property_type': 'Senior Living Community', 'is_epb': False}, {'building_id': '4550', 'distance_m': 150.88779676441212, 'property_type': 'Senior Living Community', 'is_epb': False}, {'building_id': '4531', 'distance_m': 201.01360050346082, 'property_type': 'Office', 'is_epb': False}, {'building_id': '4549', 'distance_m': 212.99342585226648, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '4545', 'distance_m': 249.76383374128298, 'property_type': 'LABORATORY', 'is_epb': False}, {'building_id': '4539', 'distance_m': 266.3312723868457, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '4536', 'distance_m': 320.4475909106271, 'property_type': 'Office', 'is_epb': False}, {'building_id': '4553', 'distance_m': 346.7631936810079, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5483', 'distance_m': 416.09016688046825, 'property_type': 'Office', 'is_epb': False}, {'building_id': '4546', 'distance_m': 435.16590760398117, 'property_type': 'Retail Store', 'is_epb': False}, {'building_id': '4548', 'distance_m': 444.6513898078342, 'property_type': 'Non-Refrigerated Warehouse', 'is_epb': False}]",0.0,75.0,0.25,3269505.1,53.4
cluster_2385,2385,Multifamily Housing,35,36,6580956.0,242215.83148,16452.39,239.97221061307252,477.6064426807856,4,11.11111111111111,16913672.732699998,0,16,8,"[{'building_id': '2565', 'distance_m': 57.255310440842116, 'property_type': 'Office', 'is_epb': False}, {'building_id': '6158', 'distance_m': 59.45126977418815, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5258', 'distance_m': 102.82457368121193, 'property_type': 'Office', 'is_epb': False}, {'building_id': '2566', 'distance_m': 105.77710018568467, 'property_type': 'Office', 'is_epb': False}, {'building_id': '2567', 'distance_m': 112.24393619325133, 'property_type': 'Office', 'is_epb': False}, {'building_id': '2254', 'distance_m': 117.38302857636042, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5632', 'distance_m': 154.3013829762256, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '2401', 'distance_m': 160.8657390478184, 'property_type': 'Office', 'is_epb': False}, {'building_id': '2387', 'distance_m': 166.20375391604117, 'property_type': 'Office', 'is_epb': False}, {'building_id': '2399', 'distance_m': 168.50566553289983, 'property_type': 'Office', 'is_epb': False}, {'building_id': '2386', 'distance_m': 170.75399319797023, 'property_type': 'Office', 'is_epb': False}, {'building_id': '2568', 'distance_m': 173.37241193392822, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5581', 'distance_m': 183.28352523825887, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5243', 'distance_m': 194.3465458350642, 'property_type': 'MIXED USE PROPERTY', 'is_epb': False}, {'building_id': '2564', 'distance_m': 197.7264557522264, 'property_type': 'Worship Facility', 'is_epb': True}, {'building_id': '5260', 'distance_m': 197.9762027868382, 'property_type': 'Retail Store', 'is_epb': False}, {'building_id': '5254', 'distance_m': 207.87120818383877, 'property_type': 'Retail Store', 'is_epb': False}, {'building_id': '2569', 'distance_m': 214.11136449025818, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '5273', 'distance_m': 221.2783849724886, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2397', 'distance_m': 235.49827255854854, 'property_type': 'Office', 'is_epb': False}, {'building_id': '5714', 'distance_m': 261.7347044305745, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2563', 'distance_m': 270.0287324475902, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5938', 'distance_m': 272.89643438615246, 'property_type': 'MIXED USE PROPERTY', 'is_epb': False}, {'building_id': '5283', 'distance_m': 274.1961412443399, 'property_type': 'Residential Care Facility', 'is_epb': False}, {'building_id': '2253', 'distance_m': 276.51222377516, 'property_type': 'Financial Office', 'is_epb': False}, {'building_id': '2252', 'distance_m': 279.06166426458054, 'property_type': 'Office', 'is_epb': False}, {'building_id': '5705', 'distance_m': 325.2597335684521, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2551', 'distance_m': 336.6605080129367, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2553', 'distance_m': 353.7517937112272, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5281', 'distance_m': 373.54091355569557, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2571', 'distance_m': 395.9907625790869, 'property_type': 'Office', 'is_epb': False}, {'building_id': '2552', 'distance_m': 398.9174328315764, 'property_type': 'Fitness Center/Health Club/Gym', 'is_epb': False}, {'building_id': '5610', 'distance_m': 444.93171861014616, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '6163', 'distance_m': 456.9080400852901, 'property_type': 'Office', 'is_epb': True}, {'building_id': '6232', 'distance_m': 477.6064426807856, 'property_type': 'Multifamily Housing', 'is_epb': False}]",0.0,74.44444444444444,0.1111111111111111,4228418.183174999,53.31111111111111
