cluster_id,anchor_building_id,anchor_building_name,anchor_building_address,anchor_property_type,member_count,total_buildings,total_sqft,total_thermal_load_mmbtu,total_cooling_load_tons,avg_distance_m,max_distance_m,epb_count,epb_percentage,total_penalty_exposure,property_type_diversity,opt_in_count,thermal_diversity_score,economic_potential_score
cluster_1294,1294,Unknown,Unknown,Manufacturing/Industrial Plant,11,12,1720944.0,0.0,4302.0,293.05,464.65,0,0.0,5968175.0,3,9,0,51.0
cluster_1346,1346,Unknown,Unknown,Manufacturing/Industrial Plant,8,9,2344883.0,0.0,5862.0,322.21,451.11,0,0.0,13987361.0,4,7,0,51.0
cluster_3546,3546,Unknown,Unknown,Manufacturing/Industrial Plant,12,13,736717.0,0.0,1842.0,306.04,496.56,0,0.0,4378568.0,7,8,0,50.0
cluster_1409,1409,Unknown,Unknown,Manufacturing/Industrial Plant,13,14,820285.0,0.0,2051.0,246.81,454.97,0,0.0,41291343.0,6,8,0,50.0
cluster_1235,1235,Unknown,Unknown,Manufacturing/Industrial Plant,10,11,798285.0,0.0,1996.0,243.2,443.3,0,0.0,3609174.0,5,6,0,50.0
cluster_3345,3345,Unknown,Unknown,Manufacturing/Industrial Plant,9,10,618672.0,0.0,1547.0,373.34,480.49,0,0.0,2484520.0,6,7,0,49.0
cluster_1283,1283,Unknown,Unknown,Manufacturing/Industrial Plant,8,9,1008033.0,0.0,2520.0,273.91,393.82,0,0.0,10693382.0,3,5,0,49.0
cluster_3277,3277,Unknown,Unknown,Manufacturing/Industrial Plant,9,10,325360.0,0.0,813.0,256.99,354.84,1,10.0,13242312.0,6,7,0,48.0
cluster_1995,1995,Unknown,Unknown,Manufacturing/Industrial Plant,8,9,627975.0,0.0,1570.0,284.97,455.51,0,0.0,27659772.0,5,6,0,48.0
cluster_3565,3565,Unknown,Unknown,Manufacturing/Industrial Plant,7,8,359677.0,0.0,899.0,316.58,481.8,1,12.5,4944327.0,6,6,0,47.0
cluster_1272,1272,Unknown,Unknown,Manufacturing/Industrial Plant,4,5,1702239.0,0.0,4256.0,361.73,481.65,0,0.0,83929149.0,4,1,0,47.0
cluster_1321,1321,Unknown,Unknown,Manufacturing/Industrial Plant,9,10,925988.0,0.0,2315.0,347.62,485.91,0,0.0,77516130.0,4,8,0,47.0
cluster_2109,2109,Unknown,Unknown,Manufacturing/Industrial Plant,6,7,400119.0,0.0,1000.0,344.27,496.31,1,14.29,1909813.0,7,7,0,46.71
cluster_1610,1610,Unknown,Unknown,Manufacturing/Industrial Plant,3,4,343523.0,0.0,859.0,181.23,295.19,1,25.0,12596633.0,4,4,0,46.0
cluster_3831,3831,Unknown,Unknown,Manufacturing/Industrial Plant,13,14,861396.0,0.0,2153.0,283.56,457.79,0,0.0,48584251.0,3,11,0,46.0
cluster_3338,3338,Unknown,Unknown,Manufacturing/Industrial Plant,6,7,452700.0,0.0,1132.0,311.85,409.37,1,14.29,2701111.0,4,6,0,44.71
cluster_5497,5497,Unknown,Unknown,College/University,11,12,978756.0,0.0,2447.0,339.64,473.33,0,0.0,3420910.0,2,6,0,44.0
cluster_6114,6114,Unknown,Unknown,Manufacturing/Industrial Plant,3,4,376897.0,0.0,942.0,431.3,471.71,1,25.0,2870004.0,3,3,0,44.0
