building_id,building_name,property_type,sqft,current_eui,reduction_needed_pct,recommended_opt_in,penalties_if_default,penalties_if_optin,npv_benefit_of_optin,primary_rationale,analysis_timestamp
5820,co0531 - stapleton support services,Office,101345.0,150.8,42.3,True,1901739.0,2974273.0,-557866.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5821,saint joseph hospital,Hospital (General Medical & Surgical),1010189.0,188.8,9.2,True,4591309.0,8039084.0,-1999147.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5822,62000001-denver,Supermarket/Grocery Store,58728.0,168.0,2.1,False,31713.0,97254.0,-44267.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5824,denver #1 - walgreens,Retail Store,32483.0,103.9,53.9,True,582258.0,836762.0,-114644.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5828,gravitas - 2450 larimer llc dba the ramble hotel,Hotel,31815.0,215.9,71.7,True,1609203.0,2265483.0,-281106.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5829,tangent (tn003),Multifamily Housing,123180.0,79.5,44.4,True,1624128.0,2000197.0,-66149.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5830,50-fifty dtc,Office,185000.0,53.1,9.0,True,246975.0,408480.0,-89442.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5832,"tower road lodging, llc",Hotel,75592.0,38.0,-60.8,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5833,"strata denver - bldgs j,k,m",Multifamily Housing,94172.0,50.0,7.6,True,149733.0,164613.0,8997.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5834,sable ridge apartments,Multifamily Housing,58606.0,51.1,11.7,True,119556.0,161753.0,-15863.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5835,residence inn denver stapleton,Hotel,74341.0,71.9,15.0,False,170613.0,369326.0,-127143.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5836,enterprise corporate center 7,Mixed Use Property,121028.0,45.1,19.3,False,228743.0,484354.0,-162667.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5837,enterprise business center 6,Distribution Center,646975.0,20.4,-24.5,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5838,co - meadows at montebello: meadows at montebello,Multifamily Housing,46353.0,62.8,29.6,True,281594.0,396596.0,-49312.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5839,balfour at stapleton,Senior Living Community,63282.0,62.3,-1.6,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5840,tennyson place,Multifamily Housing,45096.0,31.2,-41.7,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5841,colewood apartments (cl082),Multifamily Housing,38557.0,56.8,22.2,True,215148.0,223476.0,22766.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5842,flight,Office,140000.0,36.3,-46.3,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5843,denver co ts,Hotel,112885.0,44.7,-50.3,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5844,catalyst,Office,138276.0,38.4,-38.3,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5845,zeppelin station,MIXED USE PROPERTY,160423.0,54.0,-69.8,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5846,modera river north (md013),Multifamily Housing,181718.0,44.5,0.7,False,8177.0,25077.0,-11414.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5847,00113-denver/fox st & w 29th ave,Self-Storage Facility,225264.0,10.2,16.7,True,152053.0,176156.0,2246.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5849,lohi house - co (xl14),Multifamily Housing,119143.0,52.9,11.0,True,310963.0,317874.0,36801.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5850,riverview @ 1700 platte,Office,202000.0,51.2,-31.4,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5851,slohi flats,Multifamily Housing,49392.0,72.3,38.9,True,470459.0,638441.0,-64062.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5852,slohi village,MIXED USE PROPERTY,34006.0,48.9,-37.6,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5853,x@sloans,Multifamily Housing,42694.0,49.2,10.2,False,47390.0,98196.0,-32149.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5854,4255 w colfax ave,MOVIE THEATER,32696.0,137.3,61.3,True,736641.0,1264877.0,-301820.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5855,eliot street apartments,Multifamily Housing,57111.0,46.2,-18.4,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5856,little raven,Multifamily Housing,219918.0,55.0,19.6,True,1068801.0,1092553.0,126487.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5857,amli riverfront green,Multifamily Housing,351449.0,41.5,-6.5,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5858,16 chestnut,Office,479262.0,45.2,-6.9,False,0.0,0.0,0.0,Already meets 2025 target,2025-07-06 18:11:25.313695+00:00
5860,the lydian,Multifamily Housing,154117.0,58.8,9.9,True,346763.0,411184.0,-2061.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5862,arapahoe square - co (lx045) (not),Multifamily Housing,350652.0,60.5,18.8,True,1504297.0,1838819.0,-50575.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5864,20th street station apartments (lx022) (not),Multifamily Housing,353636.0,56.3,12.8,True,896467.0,1171242.0,-87368.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
5865,colorado health foundation,Office,33000.0,74.9,35.5,True,262845.0,403788.0,-71561.0,Cannot meet any targets,2025-07-06 18:11:25.313695+00:00
